Xiaomi Mi NoteBook Pro,0.3668627823116341,0.42857142857142855,0.3671276717339124,0.13614262560777957,0.8113207547169812,0.6666666666666666,0.6493506493506493
Gigabyte A5 X1,0.961472765230594,0.42857142857142855,0.30494913704423365,0.8386881494899419,0.6037735849056604,0.6666666666666666,0.974025974025974
Acer Aspire 1 A114-61,0.0,0.0,0.3195793805006286,0.0,0.9245283018867925,0.38095238095238093,0.0
Lenovo ThinkPad X1 Extreme G4-20Y50040GE,0.8269121275384324,0.42857142857142855,0.8311807063664419,0.789708265802269,0.6226415094339622,0.9047619047619048,1.0
Acer Swift 1 SF114-34,0.09888024293034732,0.0,0.0,0.018042711411955382,0.9056603773584906,0.47619047619047616,0.18181818181818182
Samsung Galaxy Book Pro 15 NP950XDB,0.35281837160751567,0.42857142857142855,0.2827751743056349,0.14133854514253028,0.9622641509433962,0.47619047619047616,0.6883116883116883
MSI GP66 Leopard 11UH,0.8912507117100019,0.42857142857142855,0.9874271345296606,0.9482553150920011,0.22641509433962265,0.7142857142857143,0.974025974025974
Asus Vivobook Pro 16x,0.887834503700892,1.0,0.5566350440050292,0.37413004099532843,0.7735849056603774,0.38095238095238093,0.4805194805194805
Lenovo IdeaPad 3 15ALC6,0.38413361169102295,0.14285714285714285,0.35044005029146186,0.08189531890552007,0.9622641509433962,0.42857142857142855,0.5714285714285714
Acer Swift 3X SF314-510G-70DW,0.4103245397608654,0.42857142857142855,0.34495370899531375,0.1854561922013538,1.0,0.9047619047619048,0.7662337662337663
Dell Inspiron 14 5410,0.32397039286392104,0.2857142857142857,0.22425420048005487,0.12315282677090285,0.5471698113207547,0.19047619047619047,0.6233766233766234
MSI WE76 11UM-456,0.8204592901878914,1.0,0.9527946050977254,0.984483744875584,0.5849056603773585,1.0,0.961038961038961
Medion Erazer Deputy P25,0.9170620611121655,0.42857142857142855,0.36621328151788773,0.667365811802841,0.660377358490566,0.42857142857142855,0.948051948051948
Asus Vivobook 13 Slate,0.11691022964509394,0.14285714285714285,0.14630243456395017,0.028434550481456763,0.660377358490566,0.5714285714285714,0.5454545454545454
Acer Enduro Urban N3 EUN314,0.36458531030556085,0.42857142857142855,0.3657560864098754,0.14608160930498618,0.5471698113207547,0.38095238095238093,0.8051948051948052
Dell Inspiron 13 7306-6TYH5,0.2987284114632758,0.42857142857142855,0.2688307235112584,0.1259891314710649,0.5849056603773585,0.6190476190476191,0.7402597402597403
Asus ExpertBook B1 B1400CEAE,0.2721579047257544,0.14285714285714285,0.3694136472739742,0.09736390504337877,0.6037735849056604,0.38095238095238093,0.6753246753246753
MSI Creator Z16 A11UET-209,0.8942873410514329,1.0,0.6830494913704424,0.5309371722757175,0.9433962264150944,0.7142857142857143,1.0
M15 R6,0.8384892769026381,1.0,0.6352726025831523,0.9074983315854704,0.4716981132075472,0.7619047619047619,0.961038961038961
XMG Apex 15,0.9107990130954641,0.42857142857142855,0.6876214424505658,0.6355705977690914,0.49056603773584906,0.6666666666666666,0.948051948051948
Gigabyte G5 GD,0.6073258682862023,0.42857142857142855,0.40404617670590925,0.42313375917627993,0.24528301886792453,0.42857142857142855,0.8831168831168831
Lenovo ThinkPad X13 G2 AMD 20XH001KGE,0.5042702600113873,0.42857142857142855,0.4317064807406561,0.11500143006959672,0.8679245283018868,0.8571428571428571,0.7792207792207793
Dell Inspiron 16 Plus 7610,0.7098121085594989,0.42857142857142855,0.27260258315236024,0.06251787586995901,0.9433962264150944,0.7619047619047619,0.5584415584415584
Asus ExpertBook B5 B5302FEA,0.36363636363636365,0.42857142857142855,0.29351925934392503,0.10401372866812851,0.8867924528301887,0.7142857142857143,0.7012987012987013
Lenovo ThinkPad X1 Carbon G9-20XW0089GE,0.3628772063010059,0.42857142857142855,0.7467139101611613,0.11983983220516732,0.8679245283018868,0.0,0.8051948051948052
Acer Spin 3 SP314-21N,0.057126589485670905,0.14285714285714285,0.19430792090524632,0.03448851177423968,0.6226415094339622,0.2857142857142857,0.4935064935064935
VAIO SX14 VJS144X0111K,0.469918390586449,1.0,0.5833809578237513,0.149227762417771,0.8113207547169812,0.5714285714285714,0.8571428571428571
Asus VivoBook 15 Pro M3500QC-L1062,0.6581894097551717,0.42857142857142855,0.6615613212938621,0.3108971303270093,0.8867924528301887,0.7142857142857143,0.961038961038961
Realme Book (Slim),0.17441639779844373,0.14285714285714285,0.28803291804777686,0.07872533129945658,0.7924528301886793,0.38095238095238093,0.7402597402597403
Lenovo IdeaPad 5 Pro 14ACN6,0.6676788764471436,0.42857142857142855,0.3196936792776317,0.11295166364763085,0.8301886792452831,0.6190476190476191,0.7662337662337663
Huawei MateBook 16 R7 5800H,0.7361928259631809,0.42857142857142855,0.4339924562807178,0.13151873391171703,0.9622641509433962,0.7142857142857143,0.5974025974025974
Dell G15 5515,0.8491174795976466,0.42857142857142855,0.3882729454794834,0.4592430164934693,0.7735849056603774,0.38095238095238093,0.9090909090909091
Gigabyte A7 X1,0.8988422850635794,0.42857142857142855,0.5190307463710139,0.8415959576699399,0.4339622641509434,0.5714285714285714,0.974025974025974
HP Omen 16-b0085ng,0.8952362877206301,0.42857142857142855,0.08972453994742256,0.8114453236724187,0.5849056603773585,0.6190476190476191,1.0
Lenovo Legion 7 15IMH05,0.7344847219586259,1.0,0.5095439478797577,0.7283106111164077,0.0,0.8095238095238095,0.974025974025974
Lenovo Yoga 7i 14-inch Tiger Lake,0.3949516037198709,0.2857142857142857,0.2860898388387244,0.09436075889026599,0.8679245283018868,0.5238095238095238,0.6753246753246753
